[31-Dec-2019 15:59:08 Asia/Tokyo] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/laravel/vendor/laravel/framework/src/Illuminate/Database/Eloquent/Concerns/HasAttributes.php on line 426
[31-Dec-2019 15:59:08 Asia/Tokyo] PHP  37. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[31-Dec-2019 15:59:08 Asia/Tokyo] PHP  38. Illuminate\View\Middleware\ShareErrorsFromSession->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[31-Dec-2019 15:59:08 Asia/Tokyo] PHP  39. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49
[31-Dec-2019 15:59:08 Asia/Tokyo] PHP  40. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[31-Dec-2019 15:59:08 Asia/Tokyo] PHP  41. App\Http\Middleware\VerifyCsrfToken->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[31-Dec-2019 15:59:08 Asia/Tokyo] PHP  42. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:68
[31-Dec-2019 15:59:08 Asia/Tokyo] PHP  43. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[31-Dec-2019 15:59:08 Asia/Tokyo] PHP  44. Illuminate\Auth\Middleware\Authenticate->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[31-Dec-2019 15:59:08 Asia/Tokyo] PHP  45. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Auth/Middleware/Authenticate.php:43
[31-Dec-2019 15:59:08 Asia/Tokyo] PHP  46. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[31-Dec-2019 15:59:08 Asia/Tokyo] PHP  47. Illuminate\Routing\Middleware\SubstituteBindings->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[31-Dec-2019 15:59:08 Asia/Tokyo] PHP  48. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Middleware/SubstituteBindings.php:41
[31-Dec-2019 15:59:08 Asia/Tokyo] PHP  49. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[31-Dec-2019 15:59:08 Asia/Tokyo] PHP  50. App\Http\Middleware\Logined->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[31-Dec-2019 15:59:08 Asia/Tokyo] PHP  51. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:28-36}() /var/www/laravel/app/Http/Middleware/Logined.php:33
[31-Dec-2019 15:59:08 Asia/Tokyo] PHP  52. Illuminate\Routing\Router->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Router.php:656-660}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:30
[31-Dec-2019 15:59:08 Asia/Tokyo] PHP  53. Illuminate\Routing\Route->run() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Router.php:658
[31-Dec-2019 15:59:08 Asia/Tokyo] PHP  54. Illuminate\Routing\Route->runController() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Route.php:169
[31-Dec-2019 15:59:08 Asia/Tokyo] PHP  55. Illuminate\Routing\ControllerDispatcher->dispatch() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Route.php:212
[31-Dec-2019 15:59:08 Asia/Tokyo] PHP  56. App\Http\Controllers\admin\TideController->callAction() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/ControllerDispatcher.php:45
[31-Dec-2019 15:59:08 Asia/Tokyo] PHP  57. call_user_func_array:{/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:54}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:54
[31-Dec-2019 15:59:08 Asia/Tokyo] PHP  58. App\Http\Controllers\admin\TideController->showList() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Controller.php:54
[31-Dec-2019 15:59:08 Asia/Tokyo] PHP  59. App\Model\Tide::getYearlyDatas() /var/www/laravel/app/Http/Controllers/admin/TideController.php:17
[31-Dec-2019 15:59:08 Asia/Tokyo] PHP  60. App\Model\Tide->__get() /var/www/laravel/app/Model/Tide.php:21
[31-Dec-2019 15:59:08 Asia/Tokyo] PHP  61. App\Model\Tide->getAttribute() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Database/Eloquent/Model.php:1382
[31-Dec-2019 15:59:08 Asia/Tokyo] PHP  62. App\Model\Tide->getAttributeValue() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Database/Eloquent/Concerns/HasAttributes.php:313
[31-Dec-2019 15:59:08 Asia/Tokyo] PHP  63. App\Model\Tide->hasGetMutator() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Database/Eloquent/Concerns/HasAttributes.php:339
[01-Jan-2020 22:55:27 Asia/Tokyo] PHP Fatal error:  Maximum execution time of 120 seconds exceeded in /var/www/laravel/app/Model/Tide.php on line 67
[01-Jan-2020 22:55:27 Asia/Tokyo] PHP Stack trace:
[01-Jan-2020 22:55:27 Asia/Tokyo] PHP   1. {main}() /var/www/html/index.php:0
[01-Jan-2020 22:55:27 Asia/Tokyo] PHP   2. App\Http\Kernel->handle() /var/www/html/index.php:55
[01-Jan-2020 22:55:27 Asia/Tokyo] PHP   3. App\Http\Kernel->sendRequestThroughRouter() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:116
[01-Jan-2020 22:55:27 Asia/Tokyo] PHP   4. Illuminate\Routing\Pipeline->then() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:151
[01-Jan-2020 22:55:27 Asia/Tokyo] PHP   5. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:102
[01-Jan-2020 22:55:27 Asia/Tokyo] PHP   6. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:55:27 Asia/Tokyo] PHP   7. Illuminate\Foundation\Http\Middleware\CheckForMaintenanceMode->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:55:27 Asia/Tokyo] PHP   8. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/CheckForMaintenanceMode.php:46
[01-Jan-2020 22:55:28 Asia/Tokyo] PHP   9. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:55:28 Asia/Tokyo] PHP  10. Illuminate\Foundation\Http\Middleware\ValidatePostSize->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:55:28 Asia/Tokyo] PHP  11. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/ValidatePostSize.php:27
[01-Jan-2020 22:55:28 Asia/Tokyo] PHP  12. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:55:28 Asia/Tokyo] PHP  13. App\Http\Middleware\TrimStrings->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:55:28 Asia/Tokyo] PHP  14. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php:30
[01-Jan-2020 22:55:28 Asia/Tokyo] PHP  15. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:55:28 Asia/Tokyo] PHP  16. Illuminate\Foundation\Http\Middleware\ConvertEmptyStringsToNull->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:55:29 Asia/Tokyo] PHP  17. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/TransformsRequest.php:30
[01-Jan-2020 22:55:29 Asia/Tokyo] PHP  18. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:55:29 Asia/Tokyo] PHP  19. App\Http\Middleware\TrustProxies->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:55:29 Asia/Tokyo] PHP  20. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:28-36}() /var/www/laravel/vendor/fideloper/proxy/src/TrustProxies.php:56
[01-Jan-2020 22:55:29 Asia/Tokyo] PHP  21. App\Http\Kernel->Illuminate\Foundation\Http\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:173-177}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:30
[01-Jan-2020 22:55:29 Asia/Tokyo] PHP  22. Illuminate\Routing\Router->dispatch() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Http/Kernel.php:176
[01-Jan-2020 22:55:29 Asia/Tokyo] PHP  23. Illuminate\Routing\Router->dispatchToRoute() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Router.php:590
[01-Jan-2020 22:55:29 Asia/Tokyo] PHP  24. Illuminate\Routing\Router->runRoute() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Router.php:601
[01-Jan-2020 22:55:29 Asia/Tokyo] PHP  25. Illuminate\Routing\Router->runRouteWithinStack() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Router.php:635
[01-Jan-2020 22:55:29 Asia/Tokyo] PHP  26. Illuminate\Routing\Pipeline->then() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Router.php:660
[01-Jan-2020 22:55:29 Asia/Tokyo] PHP  27. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:102
[01-Jan-2020 22:55:29 Asia/Tokyo] PHP  28. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:55:30 Asia/Tokyo] PHP  29. App\Http\Middleware\EncryptCookies->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:55:30 Asia/Tokyo] PHP  30. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/EncryptCookies.php:66
[01-Jan-2020 22:55:30 Asia/Tokyo] PHP  31. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:55:30 Asia/Tokyo] PHP  32. Illuminate\Cookie\Middleware\AddQueuedCookiesToResponse->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:55:30 Asia/Tokyo] PHP  33. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Cookie/Middleware/AddQueuedCookiesToResponse.php:37
[01-Jan-2020 22:55:30 Asia/Tokyo] PHP  34. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:55:30 Asia/Tokyo] PHP  35. Illuminate\Session\Middleware\StartSession->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:55:30 Asia/Tokyo] PHP  36. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Session/Middleware/StartSession.php:63
[01-Jan-2020 22:55:30 Asia/Tokyo] PHP  37. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:55:30 Asia/Tokyo] PHP  38. Illuminate\View\Middleware\ShareErrorsFromSession->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:55:30 Asia/Tokyo] PHP  39. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/View/Middleware/ShareErrorsFromSession.php:49
[01-Jan-2020 22:55:30 Asia/Tokyo] PHP  40. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:55:30 Asia/Tokyo] PHP  41. App\Http\Middleware\VerifyCsrfToken->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:55:30 Asia/Tokyo] PHP  42. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Foundation/Http/Middleware/VerifyCsrfToken.php:68
[01-Jan-2020 22:55:30 Asia/Tokyo] PHP  43. Illuminate\Routing\Pipeline->Illuminate\Pipeline\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:126-151}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:53
[01-Jan-2020 22:55:31 Asia/Tokyo] PHP  44. Illuminate\Auth\Middleware\Authenticate->handle() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Pipeline/Pipeline.php:149
[01-Jan-2020 22:55:31 Asia/Tokyo] PHP  45. Illuminate\Routing\Pipeline->Illuminate\Routing\{closure:/var/www/laravel/vendor/laravel/framework/src/Illuminate/Routing/Pipeline.php:47-59}() /var/www/laravel/vendor/laravel/framework/src/Illuminate/Auth/Middleware/Authenticate.php:43
